rank,title,studio,worldwide,domestic,perc_domestic,overseas,perc_overseas,year
47,The Jungle Book (2016),BV,$966.6,$364.0,37.7%,$602.5,62.3%,2016
48,Pirates of the Caribbean: At World's End,BV,$963.4,$309.4,32.1%,$654.0,67.9%,2007
49,Jumanji: Welcome to the Jungle,Sony,$962.1,$404.6,42.0%,$557.6,58.0%,2017^
50,Harry Potter and the Deathly Hallows Part 1,WB,$961.0,$296.1,30.8%,$664.8,69.2%,2010^
51,The Hobbit: The Desolation of Smaug,WB (NL),$958.4,$258.4,27.0%,$700.0,73.0%,2013
52,The Hobbit: The Battle of the Five Armies,WB (NL),$956.0,$255.1,26.7%,$700.9,73.3%,2014
53,Finding Nemo,BV,$940.3,$380.8,40.5%,$559.5,59.5%,2003^
54,Harry Potter and the Order of the Phoenix,WB,$940.0,$292.1,31.1%,$647.9,68.9%,2007^
55,Harry Potter and the Half-Blood Prince,WB,$934.5,$302.1,32.3%,$632.5,67.7%,2009^
56,The Lord of the Rings: The Two Towers,NL,$926.0,$342.6,37.0%,$583.5,63.0%,2002^
57,Shrek 2,DW,$919.8,$441.2,48.0%,$478.6,52.0%,2004
58,Bohemian Rhapsody,Fox,$903.7,$216.4,24.0%,$687.2,76.0%,2018
59,Harry Potter and the Goblet of Fire,WB,$897.1,$290.2,32.3%,$606.9,67.7%,2005^
60,Spider-Man 3,Sony,$890.9,$336.5,37.8%,$554.3,62.2%,2007
61,Ice Age: Dawn of the Dinosaurs,Fox,$888.8,$196.6,22.1%,$692.2,77.9%,2009
62,Spectre,Sony,$880.7,$200.1,22.7%,$680.6,77.3%,2015
63,Spider-Man: Homecoming,Sony,$880.2,$334.2,38.0%,$546.0,62.0%,2017
64,Harry Potter and the Chamber of Secrets,WB,$879.2,$262.2,29.8%,$617.0,70.2%,2002^
65,Ice Age: Continental Drift,Fox,$877.2,$161.3,18.4%,$715.9,81.6%,2012
66,The Secret Life of Pets,Uni.,$875.5,$368.4,42.1%,$507.1,57.9%,2016
67,Batman v Superman: Dawn of Justice,WB,$873.6,$330.4,37.8%,$543.3,62.2%,2016
68,The Lord of the Rings: The Fellowship of the Ring,NL,$871.5,$315.5,36.2%,$556.0,63.8%,2001^
69,Wolf Warrior 2,HC,$870.3,$2.7,0.3%,$867.6,99.7%,2017
70,The Hunger Games: Catching Fire,LGF,$865.0,$424.7,49.1%,$440.3,50.9%,2013
71,Guardians of the Galaxy Vol. 2,BV,$863.8,$389.8,45.1%,$473.9,54.9%,2017
72,Inside Out,BV,$857.6,$356.5,41.6%,$501.1,58.4%,2015
73,Venom (2018),Sony,$856.1,$213.5,24.9%,$642.6,75.1%,2018
74,Thor: Ragnarok,BV,$854.0,$315.1,36.9%,$538.9,63.1%,2017
75,Star Wars: Episode III - Revenge of the Sith,Fox,$848.8,$380.3,44.8%,$468.5,55.2%,2005^
76,Transformers: Revenge of the Fallen,P/DW,$836.3,$402.1,48.1%,$434.2,51.9%,2009
77,The Twilight Saga: Breaking Dawn Part 2,LG/S,$829.7,$292.3,35.2%,$537.4,64.8%,2012
78,Inception,WB,$828.3,$292.6,35.3%,$535.7,64.7%,2010
79,Wonder Woman,WB,$821.8,$412.6,50.2%,$409.3,49.8%,2017
80,Spider-Man,Sony,$821.7,$403.7,49.1%,$418.0,50.9%,2002
81,Independence Day,Fox,$817.4,$306.2,37.5%,$511.2,62.5%,1996^
82,Fantastic Beasts and Where To Find Them,WB,$814.0,$234.0,28.8%,$580.0,71.2%,2016
83,Coco,BV,$807.1,$209.7,26.0%,$597.4,74.0%,2017
84,Shrek the Third,P/DW,$799.0,$322.7,40.4%,$476.2,59.6%,2007
85,Harry Potter and the Prisoner of Azkaban,WB,$796.9,$249.8,31.3%,$547.1,68.7%,2004^
86,Pirates of the Caribbean: Dead Men Tell No Tales,BV,$794.9,$172.6,21.7%,$622.3,78.3%,2017
87,E.T.: The Extra-Terrestrial,Uni.,$792.9,$435.1,54.9%,$357.8,45.1%,1982^
88,Mission: Impossible - Fallout,Par.,$791.1,$220.2,27.8%,$571.0,72.2%,2018
89,Fast & Furious 6,Uni.,$788.7,$238.7,30.3%,$550.0,69.7%,2013
90,Indiana Jones and the Kingdom of the Crystal Skull,Par.,$786.6,$317.1,40.3%,$469.5,59.7%,2008
91,Deadpool 2,Fox,$785.0,$324.6,41.3%,$460.5,58.7%,2018^
92,Spider-Man 2,Sony,$783.8,$373.6,47.7%,$410.2,52.3%,2004
93,Deadpool,Fox,$783.1,$363.1,46.4%,$420.0,53.6%,2016
94,Star Wars,Fox,$775.4,$461.0,59.5%,$314.4,40.5%,1977^
95,Guardians of the Galaxy,BV,$773.3,$333.2,43.1%,$440.2,56.9%,2014
96,2012,Sony,$769.7,$166.1,21.6%,$603.6,78.4%,2009
97,Maleficent,BV,$758.5,$241.4,31.8%,$517.1,68.2%,2014
98,Fast & Furious Presents: Hobbs & Shaw,Uni.,$758.4,$173.3,22.9%,$585.1,77.1%,2019
99,The Da Vinci Code,Sony,$758.2,$217.5,28.7%,$540.7,71.3%,2006
100,The Amazing Spider-Man,Sony,$757.9,$262.0,34.6%,$495.9,65.4%,2012
101,The Hunger Games: Mockingjay - Part 1,LGF,$755.4,$337.1,44.6%,$418.2,55.4%,2014
102,Shrek Forever After,P/DW,$752.6,$238.7,31.7%,$513.9,68.3%,2010
103,X-Men: Days of Future Past,Fox,$747.9,$233.9,31.3%,$513.9,68.7%,2014
104,Madagascar 3: Europe's Most Wanted,P/DW,$746.9,$216.4,29.0%,$530.5,71.0%,2012
105,Suicide Squad,WB,$746.8,$325.1,43.5%,$421.7,56.5%,2016
106,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,$745.0,$291.7,39.2%,$453.3,60.8%,2005
107,Monsters University,BV,$744.2,$268.5,36.1%,$475.7,63.9%,2013
108,The Matrix Reloaded,WB,$742.1,$281.6,37.9%,$460.6,62.1%,2003
109,Up,BV,$735.1,$293.0,39.9%,$442.1,60.1%,2009
110,Gravity,WB,$723.2,$274.1,37.9%,$449.1,62.1%,2013
111,Captain America: The Winter Soldier,BV,$714.3,$259.8,36.4%,$454.5,63.6%,2014
112,The Twilight Saga: Breaking Dawn Part 1,Sum.,$712.2,$281.3,39.5%,$430.9,60.5%,2011
113,Dawn of the Planet of the Apes,Fox,$710.6,$208.5,29.3%,$502.1,70.7%,2014
114,The Twilight Saga: New Moon,Sum.,$709.7,$296.6,41.8%,$413.1,58.2%,2009
115,Transformers,P/DW,$709.7,$319.2,45.0%,$390.5,55.0%,2007
116,The Amazing Spider-Man 2,Sony,$709.0,$202.9,28.6%,$506.1,71.4%,2014
117,Ne Zha,WGUSA,$700.5,$3.7,0.5%,$696.9,99.5%,2019
118,It,WB (NL),$700.4,$327.5,46.8%,$372.9,53.2%,2017
119,The Wandering Earth,CMC,$699.8,$5.9,0.8%,$693.9,99.2%,2019
120,The Twilight Saga: Eclipse,Sum.,$698.5,$300.5,43.0%,$398.0,57.0%,2010
121,Mission: Impossible - Ghost Protocol,Par.,$694.7,$209.4,30.1%,$485.3,69.9%,2011
122,The Hunger Games,LGF,$694.4,$408.0,58.8%,$286.4,41.2%,2012
123,Mission: Impossible - Rogue Nation,Par.,$682.7,$195.0,28.6%,$487.7,71.4%,2015
124,Forrest Gump,Par.,$678.1,$330.5,48.7%,$347.7,51.3%,1994^
125,Doctor Strange,BV,$677.7,$232.6,34.3%,$445.1,65.7%,2016
126,Interstellar,Par.,$677.5,$188.0,27.8%,$489.4,72.2%,2014
127,The Sixth Sense,BV,$672.8,$293.5,43.6%,$379.3,56.4%,1999
128,Man of Steel,WB,$668.0,$291.0,43.6%,$377.0,56.4%,2013
129,Kung Fu Panda 2,P/DW,$665.7,$165.2,24.8%,$500.4,75.2%,2011
130,Ice Age: The Meltdown,Fox,$660.9,$195.3,29.6%,$465.6,70.4%,2006
131,Justice League,WB,$657.9,$229.0,34.8%,$428.9,65.2%,2017
132,Big Hero 6,BV,$657.8,$222.5,33.8%,$435.3,66.2%,2014
133,Pirates of the Caribbean: The Curse of the Black Pearl,BV,$654.3,$305.4,46.7%,$348.9,53.3%,2003
134,Fantastic Beasts: The Crimes of Grindelwald,WB,$653.8,$159.6,24.4%,$494.2,75.6%,2018
135,The Hunger Games: Mockingjay - Part 2,LGF,$653.4,$281.7,43.1%,$371.7,56.9%,2015
136,Star Wars: Episode II - Attack of the Clones,Fox,$649.4,$310.7,47.8%,$338.7,52.2%,2002^
137,Thor: The Dark World,BV,$644.6,$206.4,32.0%,$438.2,68.0%,2013
138,Moana,BV,$643.3,$248.8,38.7%,$394.6,61.3%,2016
139,Sing,Uni.,$634.2,$270.4,42.6%,$363.8,57.4%,2016
140,The Incredibles,BV,$633.0,$261.4,41.3%,$371.6,58.7%,2004
141,Kung Fu Panda,P/DW,$631.7,$215.4,34.1%,$416.3,65.9%,2008
142,The Martian,Fox,$630.2,$228.4,36.2%,$401.7,63.8%,2015
143,Fast Five,Uni.,$626.1,$209.8,33.5%,$416.3,66.5%,2011
144,Hancock,Sony,$624.4,$227.9,36.5%,$396.4,63.5%,2008
145,MIB 3,Sony,$624.0,$179.0,28.7%,$445.0,71.3%,2012
146,Iron Man 2,Par.,$623.9,$312.4,50.1%,$311.5,49.9%,2010
147,Ant-Man and the Wasp,BV,$622.7,$216.6,34.8%,$406.0,65.2%,2018
148,How to Train Your Dragon 2,Fox,$621.5,$177.0,28.5%,$444.5,71.5%,2014
149,Ratatouille,BV,$620.7,$206.4,33.3%,$414.3,66.7%,2007
150,Logan (2017),Fox,$619.0,$226.3,36.6%,$392.7,63.4%,2017
151,The Lost World: Jurassic Park,Uni.,$618.6,$229.1,37.0%,$389.6,63.0%,1997
152,The Passion of the Christ,NM,$611.9,$370.8,60.6%,$241.1,39.4%,2004^
153,Mamma Mia!,Uni.,$609.9,$144.2,23.6%,$465.7,76.4%,2008^
154,Life of Pi,Fox,$609.0,$125.0,20.5%,$484.0,79.5%,2012
155,Transformers: The Last Knight,Par.,$605.4,$130.2,21.5%,$475.3,78.5%,2017
156,Madagascar: Escape 2 Africa,P/DW,$603.9,$180.0,29.8%,$423.9,70.2%,2008
157,Casino Royale,Sony,$599.0,$167.4,28.0%,$431.6,72.0%,2006^
158,Tangled,BV,$591.8,$200.8,33.9%,$391.0,66.1%,2010
159,War of the Worlds,Par.,$591.7,$234.3,39.6%,$357.5,60.4%,2005
160,Men in Black,Sony,$589.4,$250.7,42.5%,$338.7,57.5%,1997
161,The Croods,Fox,$587.2,$187.2,31.9%,$400.0,68.1%,2013
162,The Hangover Part II,WB,$586.8,$254.5,43.4%,$332.3,56.6%,2011
163,Quantum of Solace,Sony,$586.1,$168.4,28.7%,$417.7,71.3%,2008
164,I Am Legend,WB,$585.3,$256.4,43.8%,$329.0,56.2%,2007
165,Iron Man,Par.,$585.2,$318.4,54.4%,$266.8,45.6%,2008
166,Ready Player One,WB,$582.9,$137.7,23.6%,$445.2,76.4%,2018
167,Operation Red Sea,WGUSA,$579.2,$1.5,0.3%,$577.7,99.7%,2018
168,"Monsters, Inc.",BV,$577.4,$289.9,50.2%,$287.5,49.8%,2001^
169,Night at the Museum,Fox,$574.5,$250.9,43.7%,$323.6,56.3%,2006
170,Fifty Shades of Grey,Uni.,$571.0,$166.2,29.1%,$404.8,70.9%,2015
171,Kong: Skull Island,WB,$566.7,$168.1,29.7%,$398.6,70.3%,2017
172,The Smurfs,Sony,$563.7,$142.6,25.3%,$421.1,74.7%,2011
173,Cars 2,BV,$562.1,$191.5,34.1%,$370.7,65.9%,2011
174,Puss in Boots,P/DW,$555.0,$149.3,26.9%,$405.7,73.1%,2011
175,The Mermaid (Mei ren yu),Sony,$553.8,$3.2,0.6%,$550.6,99.4%,2016
176,Armageddon,BV,$553.7,$201.6,36.4%,$352.1,63.6%,1998
177,King Kong,Uni.,$550.5,$218.1,39.6%,$332.4,60.4%,2005
178,Ted,Uni.,$549.4,$218.8,39.8%,$330.6,60.2%,2012
179,American Sniper,WB,$547.4,$350.1,64.0%,$197.3,36.0%,2014
180,Mission: Impossible II,Par.,$546.4,$215.4,39.4%,$331.0,60.6%,2000
181,Sherlock Holmes: A Game of Shadows,WB,$545.4,$186.8,34.3%,$358.6,65.7%,2011
182,The Day After Tomorrow,Fox,$544.3,$186.7,34.3%,$357.5,65.7%,2004
183,Detective Chinatown 2,WB,$544.1,$2.0,0.4%,$542.1,99.6%,2018
184,X-Men: Apocalypse,Fox,$543.9,$155.4,28.6%,$388.5,71.4%,2016
185,Cinderella (2015),BV,$543.5,$201.2,37.0%,$342.4,63.0%,2015
186,Despicable Me,Uni.,$543.1,$251.5,46.3%,$291.6,53.7%,2010
187,Brave,BV,$540.4,$237.3,43.9%,$303.2,56.1%,2012
188,World War Z,Par.,$540.0,$202.4,37.5%,$337.6,62.5%,2013
189,The Empire Strikes Back,Fox,$538.4,$290.5,54.0%,$247.9,46.0%,1980^
190,WALL-E,BV,$533.3,$223.8,42.0%,$309.5,58.0%,2008
191,The Revenant,Fox,$533.0,$183.6,34.5%,$349.3,65.5%,2015
192,Madagascar,DW,$532.7,$193.6,36.3%,$339.1,63.7%,2005
193,The Meg,WB,$530.2,$145.4,27.4%,$384.8,72.6%,2018
194,Ralph Breaks the Internet,BV,$529.3,$201.1,38.0%,$328.2,62.0%,2018
195,Godzilla (2014),WB,$529.1,$200.7,37.9%,$328.4,62.1%,2014
196,Hotel Transylvania 3: Summer Vacation,Sony,$528.6,$167.5,31.7%,$361.1,68.3%,2018
197,The Boss Baby,Fox,$528.0,$175.0,33.1%,$353.0,66.9%,2017
198,The Simpsons Movie,Fox,$527.1,$183.1,34.7%,$343.9,65.3%,2007
199,Dunkirk,WB,$526.9,$189.7,36.0%,$337.2,64.0%,2017^
200,Sherlock Holmes,WB,$524.0,$209.0,39.9%,$315.0,60.1%,2009
201,Kung Fu Panda 3,Fox,$521.2,$143.5,27.5%,$377.6,72.5%,2016
202,Terminator 2: Judgment Day,TriS,$520.9,$205.9,39.5%,$315.0,60.5%,1991^
203,How to Train Your Dragon: The Hidden World,Uni.,$519.9,$160.8,30.9%,$359.1,69.1%,2019
204,Ant-Man,BV,$519.3,$180.2,34.7%,$339.1,65.3%,2015
205,Meet the Fockers,Uni.,$516.6,$279.3,54.1%,$237.4,45.9%,2004
206,Dr. Seuss' The Grinch (2018),Uni.,$511.6,$270.6,52.9%,$241.0,47.1%,2018
207,Ghost,Par.,$505.7,$217.6,43.0%,$288.1,57.0%,1990
208,Aladdin,BV,$504.1,$217.4,43.1%,$286.7,56.9%,1992
209,Rio 2,Fox,$500.1,$131.5,26.3%,$368.6,73.7%,2014
210,Troy,WB,$497.4,$133.4,26.8%,$364.0,73.2%,2004
211,Toy Story 2,BV,$497.4,$245.9,49.4%,$251.5,50.6%,1999^
212,How to Train Your Dragon,P/DW,$494.9,$217.6,44.0%,$277.3,56.0%,2010
213,Twister,WB,$494.5,$241.7,48.9%,$252.8,51.1%,1996
214,Teenage Mutant Ninja Turtles (2014),Par.,$493.3,$191.2,38.8%,$302.1,61.2%,2014
215,Oz The Great and Powerful,BV,$493.3,$234.9,47.6%,$258.4,52.4%,2013
216,Clash of the Titans (2010),WB,$493.2,$163.2,33.1%,$330.0,66.9%,2010
217,War for the Planet of the Apes,Fox,$490.7,$146.9,29.9%,$343.8,70.1%,2017
218,Angels & Demons,Sony,$485.9,$133.4,27.4%,$352.6,72.6%,2009
219,Rio,Fox,$484.6,$143.6,29.6%,$341.0,70.4%,2011
220,Bruce Almighty,Uni.,$484.6,$242.8,50.1%,$241.8,49.9%,2003
221,Shrek,DW,$484.4,$267.7,55.3%,$216.7,44.7%,2001
222,Saving Private Ryan,DW,$482.3,$217.0,45.0%,$265.3,55.0%,1998^
223,Rise of the Planet of the Apes,Fox,$481.8,$176.8,36.7%,$305.0,63.3%,2011
224,Mr. & Mrs. Smith,Fox,$478.2,$186.3,39.0%,$291.9,61.0%,2005
225,Home Alone,Fox,$476.7,$285.8,59.9%,$190.9,40.1%,1990
226,Return of the Jedi,Fox,$475.1,$309.3,65.1%,$165.8,34.9%,1983^
227,Charlie and the Chocolate Factory,WB,$475.0,$206.5,43.5%,$268.5,56.5%,2005
228,Hotel Transylvania 2,Sony,$474.8,$169.7,35.7%,$305.1,64.3%,2015
229,Indiana Jones and the Last Crusade,Par.,$474.2,$197.2,41.6%,$277.0,58.4%,1989
230,San Andreas,WB (NL),$474.0,$155.2,32.7%,$318.8,67.3%,2015
231,Wreck-It Ralph,BV,$471.2,$189.4,40.2%,$281.8,59.8%,2012
232,Jaws,Uni.,$470.7,$260.0,55.2%,$210.7,44.8%,1975
233,The LEGO Movie,WB,$469.2,$257.8,54.9%,$211.4,45.1%,2014
234,Bumblebee,Par.,$468.0,$127.2,27.2%,$340.8,72.8%,2018
235,The Hangover,WB,$467.5,$277.3,59.3%,$190.2,40.7%,2009
236,Star Trek Into Darkness,Par.,$467.4,$228.8,48.9%,$238.6,51.1%,2013
237,The Matrix,WB,$463.5,$171.5,37.0%,$292.0,63.0%,1999
238,Pretty Woman,BV,$463.4,$178.4,38.5%,$285.0,61.5%,1990
239,Lucy,Uni.,$463.4,$126.7,27.3%,$336.7,72.7%,2014
240,Cars,BV,$462.2,$244.1,52.8%,$218.1,47.2%,2006
241,Gladiator,DW,$460.6,$187.7,40.8%,$272.9,59.2%,2000
242,X-Men: The Last Stand,Fox,$459.4,$234.4,51.0%,$225.0,49.0%,2006
243,Mission: Impossible,Par.,$457.7,$181.0,39.5%,$276.7,60.5%,1996
244,National Treasure: Book of Secrets,BV,$457.4,$220.0,48.1%,$237.4,51.9%,2007
245,The Last Samurai,WB,$456.8,$111.1,24.3%,$345.6,75.7%,2003
246,300,WB,$456.1,$210.6,46.2%,$245.5,53.8%,2007
247,Ocean's Eleven,WB,$450.7,$183.4,40.7%,$267.3,59.3%,2001
248,Thor,Par.,$449.3,$181.0,40.3%,$268.3,59.7%,2011
249,Pearl Harbor,BV,$449.2,$198.5,44.2%,$250.7,55.8%,2001
250,Tarzan,BV,$448.2,$171.1,38.2%,$277.1,61.8%,1999
251,La La Land,LG/S,$446.1,$151.1,33.9%,$295.0,66.1%,2016
252,Alvin and the Chipmunks: The Squeakquel,Fox,$443.1,$219.6,49.6%,$223.5,50.4%,2009
253,The Bourne Ultimatum,Uni.,$442.8,$227.5,51.4%,$215.4,48.6%,2007
254,Men in Black II,Sony,$441.8,$190.4,43.1%,$251.4,56.9%,2002
255,Les Miserables (2012),Uni.,$441.8,$148.8,33.7%,$293.0,66.3%,2012
256,The Exorcist,WB,$441.3,$232.9,52.8%,$208.4,47.2%,1973^
257,Mrs. Doubtfire,Fox,$441.3,$219.2,49.7%,$222.1,50.3%,1993
258,Terminator: Genisys,Par.,$440.6,$89.8,20.4%,$350.8,79.6%,2015
259,It: Chapter Two,WB (NL),$439.6,$204.8,46.6%,$234.8,53.4%,2019
260,Warcraft,Uni.,$439.0,$47.4,10.8%,$391.7,89.2%,2016
261,The Greatest Showman,Fox,$435.0,$174.3,40.1%,$260.7,59.9%,2017
262,A Star is Born (2018),WB,$434.9,$215.3,49.5%,$219.6,50.5%,2018
263,Terminator 3: Rise of the Machines,WB,$433.4,$150.4,34.7%,$283.0,65.3%,2003
264,The Mummy Returns,Uni.,$433.0,$202.0,46.7%,$231.0,53.3%,2001
265,Die Another Day,MGM,$432.0,$160.9,37.3%,$271.0,62.7%,2002
266,Pokemon Detective Pikachu,WB,$431.6,$144.1,33.4%,$287.5,66.6%,2019
267,Cast Away,Fox,$429.6,$233.6,54.4%,$196.0,45.6%,2000
268,The Secret Life of Pets 2,Uni.,$429.4,$158.3,36.9%,$271.2,63.1%,2019
269,Rampage (2018),WB (NL),$428.0,$101.0,23.6%,$327.0,76.4%,2018
270,The Matrix Revolutions,WB,$427.3,$139.3,32.6%,$288.0,67.4%,2003
271,The Intouchables (U.S.-only),Wein.,$426.6,$10.2,2.4%,$416.4,97.6%,2012
272,Django Unchained,Wein.,$425.4,$162.8,38.3%,$262.6,61.7%,2012
273,Beauty and the Beast,BV,$425.0,$219.0,51.5%,$206.0,48.5%,1991^
274,Dances with Wolves,Orion,$424.2,$184.2,43.4%,$240.0,56.6%,1990
275,The Chronicles of Narnia: Prince Caspian,BV,$419.7,$141.6,33.7%,$278.0,66.3%,2008
276,The Mummy,Uni.,$415.9,$155.4,37.4%,$260.5,62.6%,1999
277,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,$415.7,$104.4,25.1%,$311.3,74.9%,2010
278,Jason Bourne,Uni.,$415.5,$162.4,39.1%,$253.1,60.9%,2016
279,Sex and the City,WB (NL),$415.3,$152.6,36.8%,$262.6,63.2%,2008
280,The Wolverine,Fox,$414.8,$132.6,32.0%,$282.3,68.0%,2013
281,Kingsman: The Secret Service,Fox,$414.4,$128.3,31.0%,$286.1,69.0%,2015
282,The King's Speech,Wein.,$414.2,$138.8,33.5%,$275.4,66.5%,2010^
283,Night at the Museum: Battle of the Smithsonian,Fox,$413.1,$177.2,42.9%,$235.9,57.1%,2009
284,Batman,WB,$411.5,$251.3,61.1%,$160.2,38.9%,1989^
285,The Bodyguard,WB,$411.0,$122.0,29.7%,$289.0,70.3%,1992^
286,Pacific Rim,WB,$411.0,$101.8,24.8%,$309.2,75.2%,2013
287,Kingsman: The Golden Circle,Fox,$410.9,$100.2,24.4%,$310.7,75.6%,2017
288,The Mummy (2017),Uni.,$409.2,$80.2,19.6%,$329.0,80.4%,2017
289,Ice Age: Collision Course,Fox,$408.6,$64.1,15.7%,$344.5,84.3%,2016
290,Signs,BV,$408.2,$228.0,55.8%,$180.3,44.2%,2002
291,X2: X-Men United,Fox,$407.7,$214.9,52.7%,$192.8,47.3%,2003
292,Alita: Battle Angel,Fox,$404.9,$85.7,21.2%,$319.1,78.8%,2019
293,Prometheus,Fox,$403.4,$126.5,31.4%,$276.9,68.6%,2012
294,Gone with the Wind,MGM,$402.4,$200.9,49.9%,$201.5,50.1%,1939^
295,The Mummy: Tomb of the Dragon Emperor,Uni.,$401.1,$102.5,25.6%,$298.6,74.4%,2008
296,Tron Legacy,BV,$400.1,$172.1,43.0%,$228.0,57.0%,2010
297,Mission: Impossible III,Par.,$397.9,$134.0,33.7%,$263.8,66.3%,2006
298,Snow White and the Huntsman,Uni.,$396.6,$155.3,39.2%,$241.3,60.8%,2012
299,Grease,Par.,$396.2,$190.0,48.0%,$206.2,52.0%,1978^
300,Mamma Mia! Here We Go Again,Uni.,$395.0,$120.6,30.5%,$274.4,69.5%,2018
301,Twilight,Sum.,$393.6,$192.8,49.0%,$200.8,51.0%,2008
302,Solo: A Star Wars Story,BV,$392.9,$213.8,54.4%,$179.2,45.6%,2018
303,The Wolf of Wall Street,Par.,$392.0,$116.9,29.8%,$275.1,70.2%,2013
304,Superman Returns,WB,$391.1,$200.1,51.2%,$191.0,48.8%,2006
305,Robin Hood: Prince of Thieves,WB,$390.5,$165.5,42.4%,$225.0,57.6%,1991
306,Raiders of the Lost Ark,Par.,$389.9,$248.2,63.6%,$141.8,36.4%,1981^
307,Independence Day: Resurgence,Fox,$389.7,$103.1,26.5%,$286.5,73.5%,2016
308,Home (2015),Fox,$386.0,$177.4,46.0%,$208.6,54.0%,2015
